,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
431,1892,2-s2.0-38149140838,6507067588,60024353,0,not high,0
437,1900,2-s2.0-84879575130,8623907300,60002306,0,not high,0
442,1908,2-s2.0-49049113880,34569739100,60002306,3,not high,0
446,1912,2-s2.0-49349108749,35277251500,60012392,0,not high,0
447,1917,2-s2.0-37849047019,15046756500,60000463,1,not high,0
450,1922,2-s2.0-44949123574,36717165200,60014611,1,not high,0
453,1926,2-s2.0-49349108980,35277251500,60012392,2,not high,0
454,1930,2-s2.0-84883516848,15064986200,60019245,0,not high,0
455,1935,2-s2.0-38349049172,9639703500,60007324,0,not high,0
456,1938,2-s2.0-35649007860,8920756500,60000251,42,not high,0
459,1945,2-s2.0-62749159466,18634784100,60020623,0,not high,0
460,1947,2-s2.0-39049137331,57190496220,60017592,0,not high,0
461,1949,2-s2.0-36549064679,6602297394,60007457,19,not high,0
462,1955,2-s2.0-38349077092,9639703500,105451563,0,not high,0
463,1959,2-s2.0-38049037014,7004221145,60065435,0,not high,0
464,1960,2-s2.0-36249013650,6603178424,60026124,8,not high,0
466,1966,2-s2.0-84892155566,7004187647,60002306,0,not high,0
467,1968,2-s2.0-46749119794,6508070965,60020004,2,not high,0
468,1971,2-s2.0-44949108132,14219934900,60003771,12,high,1
471,1975,2-s2.0-37849051013,8255449200,60012621,0,not high,0
472,1976,2-s2.0-38149138056,7006742939,60010571,26,not high,0
476,1983,2-s2.0-44849119104,8716933500,60019616,0,not high,0
478,1985,2-s2.0-37549060585,7006737733,109697465,15,not high,0
480,1997,2-s2.0-38149041850,6603367089,112171020,0,not high,0
482,2000,2-s2.0-84883026208,8893341000,60029428,0,not high,0
483,2002,2-s2.0-38049055815,7201564856,60019616,0,not high,0
485,2011,2-s2.0-50249119717,6602971923,60027844,0,not high,0
486,2014,2-s2.0-84893483286,6603367089,60029507,0,not high,0
488,2017,2-s2.0-38449086404,6701514182,112169996,4,not high,0
489,2023,2-s2.0-47649133654,7006885652,60022659,0,not high,0
490,2024,2-s2.0-51149089745,8937144900,60024353,10,not high,0
494,2031,2-s2.0-45949106782,7202389339,60017498,10,not high,0
496,2041,2-s2.0-34548587904,55931807500,60021199,1,not high,0
498,2044,2-s2.0-38049019886,23003324700,60012164,0,not high,0
501,2052,2-s2.0-44049108104,7006323434,60073652,4,not high,0
502,2055,2-s2.0-38049179210,7102930200,60030318,0,not high,0
503,2066,2-s2.0-51549105538,24779827700,60014714,0,not high,0
504,2081,2-s2.0-46449137248,7405855049,60014966,0,not high,0
505,2084,2-s2.0-37849011249,11739647400,60025858,1,not high,0
506,2088,2-s2.0-49049106086,55992514500,60026610,2,not high,0
509,2093,2-s2.0-38349032884,26435347900,60025084,4,not high,0
510,2094,2-s2.0-38349013066,35446475800,60005745,1,not high,0
511,2095,2-s2.0-47349099353,22933261700,60030904,1,not high,0
516,2104,2-s2.0-47349114777,35298349700,60025152,2,not high,0
518,2107,2-s2.0-49749085512,14024929400,60007989,0,not high,0
519,2108,2-s2.0-38049151252,7801532760,60029570,5,not high,0
522,2114,2-s2.0-49949101860,35578777500,60001741,0,not high,0
523,2121,2-s2.0-46449101717,8417507400,60025278,0,not high,0
527,2125,2-s2.0-38349004810,6506110486,60004060,0,not high,0
529,2131,2-s2.0-38049123963,6701514182,60033154,2,not high,0
530,2135,2-s2.0-36749083029,7402664765,,4,not high,0
531,2145,2-s2.0-49049116313,15758695900,60015457,5,not high,0
533,2150,2-s2.0-47349133362,24470604900,60030904,4,not high,0
537,2156,2-s2.0-47649123571,8858676200,60027086,8,not high,0
538,2158,2-s2.0-47349116100,8833182000,60009084,0,not high,0
539,2172,2-s2.0-47649118851,35248453300,60032144,0,not high,0
540,2174,2-s2.0-41749115775,7004127729,60008088,0,not high,0
541,2181,2-s2.0-38049185278,55904478000,60012306,1,not high,0
544,2185,2-s2.0-38049153181,8517910900,60008042,4,not high,0
547,2189,2-s2.0-47649124329,19640855500,60018029,5,not high,0
549,2192,2-s2.0-38349016569,6507925214,60033316,0,high,1
551,2198,2-s2.0-34548559709,12771696900,112584844,2,not high,0
554,2202,2-s2.0-84864066856,10044984100,60028717,23,not high,0
555,2216,2-s2.0-49349103860,7202685903,60004739,1,not high,0
556,2218,2-s2.0-47649117568,18039042000,60028599,0,not high,0
557,2225,2-s2.0-73449103525,6602306027,60028333,2,not high,0
558,2227,2-s2.0-38149029316,7004592888,60015595,3,not high,0
559,2230,2-s2.0-48049111764,35615434000,60016618,1,not high,0
560,2233,2-s2.0-38549099013,6507604947,60106208,2,not high,0
561,2237,2-s2.0-49349093406,35277251500,60012392,2,not high,0
562,2262,2-s2.0-46449103773,8417507400,60025278,1,not high,0
563,2266,2-s2.0-67650258258,7003746116,60023256,0,not high,0
564,2267,2-s2.0-84887005989,55791279400,60021841,0,not high,0
566,2269,2-s2.0-52249108044,23391564900,60019616,0,not high,0
569,2281,2-s2.0-54949126437,23481826600,60041952,1,not high,0
570,2287,2-s2.0-37449032052,7004651537,60019702,34,not high,0
571,2292,2-s2.0-38949106176,6602733622,60016253,27,not high,0
572,2301,2-s2.0-44949183515,24343206400,60021606,0,not high,0
577,2308,2-s2.0-35748956437,34668730600,60012279,17,not high,0
580,2314,2-s2.0-38349054959,14623472200,60010953,1,not high,0
582,2322,2-s2.0-47649125949,8904353600,60017059,0,not high,0
584,2327,2-s2.0-35549010617,8905222100,60025278,3,not high,0
586,2336,2-s2.0-33847709186,8655043000,60030612,16,not high,0
588,2338,2-s2.0-38149130505,36984002600,60015138,2,not high,0
590,2344,2-s2.0-38449123881,6602549479,60013959,32,not high,0
592,2346,2-s2.0-40749106638,35214280600,60019572,8,not high,0
595,2351,2-s2.0-38349070967,7006097830,60032789,2,not high,0
596,2354,2-s2.0-70449133302,55739553600,60019647,5,not high,0
598,2358,2-s2.0-47849108996,7006898506,60025778,0,not high,0
600,2361,2-s2.0-47649123810,16305981000,105992387,1,not high,0
603,2367,2-s2.0-57649226177,56081969200,60030904,28,not high,0
606,2373,2-s2.0-84868117026,6602114472,60006951,8,not high,0
607,2386,2-s2.0-36949034073,6603133015,60011373,72,not high,0
612,2397,2-s2.0-47649114928,7003337650,60022659,5,high,1
613,2398,2-s2.0-84856982135,8971139600,60029507,0,not high,0
