eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749123612,102043897,Medical Centre of Diagnosis and Treatment,Romania
2-s2.0-72749092654,60016835,Beijing Institute of Technology,China
2-s2.0-72749115289,60033041,Alexandria University,Egypt
2-s2.0-72749084405,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749118070,60104659,Chinese Research Academy of Environmental Sciences,China
2-s2.0-72749118070,60018273,University of Science and Technology Beijing,China
2-s2.0-72749098438,60001338,Changsha University of Science and Technology,China
2-s2.0-72749093863,60010591,Huazhong Normal University,China
2-s2.0-72749093863,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749086880,60019533,Tianjin University,China
2-s2.0-72749119326,60026320,Qufu Normal University,China
2-s2.0-72749119326,60010432,Soochow University,China
2-s2.0-72749091080,105167204,State Key Laboratory of Urban Water Resource and Environment,China
2-s2.0-72749091080,60019616,Harbin Institute of Technology,China
2-s2.0-72749097666,105298381,Zhengzhou Water Supply Corporation,China
2-s2.0-72749097666,60073652,Tongji University,China
2-s2.0-72749123174,60019616,Harbin Institute of Technology,China
2-s2.0-72749123174,60087831,Harbin University,China
2-s2.0-72749128267,60024350,National University of Defense Technology,China
2-s2.0-72749115503,60018205,Xiamen University,China
2-s2.0-72749092937,60024542,South China University of Technology,China
2-s2.0-72749100991,60073652,Tongji University,China
2-s2.0-72749087510,60073526,Guangdong Institute of Education,China
2-s2.0-72749087510,60025345,Guangzhou University,China
2-s2.0-72749099798,60021918,University of Virginia,United States
2-s2.0-72749099798,60032516,University of Venda for Science and Technology,South Africa
2-s2.0-72749099798,60030846,University of Virginia Medical School,United States
2-s2.0-72749122321,60025278,Tsinghua University,China
2-s2.0-72749091280,60073726,Ludong University,China
2-s2.0-72749104222,100331847,DreamSciTech Consulting,China
2-s2.0-72749104222,60081251,Guangxi Academy of Agricultural Sciences,China
2-s2.0-72749094766,60003144,Dalian Jiaotong University,China
2-s2.0-72749094766,60027257,Shenyang Institute of Applied Ecology Chinese Academy of Sciences,China
2-s2.0-72749094766,60019499,Chinese Academy of Sciences,China
2-s2.0-72749097458,60019499,Chinese Academy of Sciences,China
2-s2.0-72749097458,60016930,Beijing University of Posts and Telecommunications,China
2-s2.0-72749094072,60013614,Hangzhou Dianzi University,China
2-s2.0-72749093552,60013268,Taiyuan Li Gong Daxue,China
2-s2.0-72749112131,60064143,Nanjing University of Information Science and Technology,China
2-s2.0-72749112131,60009550,Northern Illinois University,United States
2-s2.0-72749122964,60022758,University of New Orleans,United States
2-s2.0-72749109382,60087539,Jilin Architectural and Civil Engineering Institute,China
2-s2.0-72749109382,60019616,Harbin Institute of Technology,China
2-s2.0-72749117631,60006019,"China University of Geosciences, Wuhan",China
2-s2.0-72749106133,60092437,Tianjin University of Science &amp; Technology,China
2-s2.0-72749115465,100436899,Tianjin Municipal Engineering Design and Research Institute,China
2-s2.0-72749115465,60019533,Tianjin University,China
2-s2.0-72749107562,60010421,Southwest Jiaotong University,China
2-s2.0-72749107092,60022149,Tianjin Normal University,China
2-s2.0-72749107092,60019533,Tianjin University,China
2-s2.0-72749115009,60001429,Shandong University of Science and Technology,China
2-s2.0-72749126380,60001338,Changsha University of Science and Technology,China
2-s2.0-72749126380,60005244,Southeast University,China
2-s2.0-72749106580,108140359,JINSHAN Science and Technology Inc.,China
2-s2.0-72749106580,60102083,Shenzhen Institute of Advanced Technology,China
2-s2.0-72749104192,60013614,Hangzhou Dianzi University,China
2-s2.0-72749104192,60004803,H. Lee Moffitt Cancer Center and Research Institute,United States
2-s2.0-72749096791,60102083,Shenzhen Institute of Advanced Technology,China
2-s2.0-72749096791,60004828,Changchun Institute of Optics Fine Mechanics and Physics Chinese Academy of Sciences,China
2-s2.0-72749096791,60019499,Chinese Academy of Sciences,China
2-s2.0-72749106609,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749106609,60029306,Wuhan University,China
2-s2.0-74549168266,60014856,Hopital Paul-Brousse,France
2-s2.0-74549168266,60024652,Universite Paris-Sud XI,France
2-s2.0-74549168266,60005915,Hopital Beaujon,France
2-s2.0-74549168266,60028950,Universite Paris Descartes,France
2-s2.0-72749102256,60088268,University of South China,China
2-s2.0-72749111419,60019616,Harbin Institute of Technology,China
2-s2.0-72749111419,60024322,Osaka University,Japan
2-s2.0-72749096788,60005488,China Institute of Water Resources and Hydropower Research,China
2-s2.0-72749096788,60013268,Taiyuan Li Gong Daxue,China
2-s2.0-72749096788,60009409,"China University of Geosciences, Beijing",China
2-s2.0-72749127554,60019499,Chinese Academy of Sciences,China
2-s2.0-72749124742,60013551,China Agricultural University,China
2-s2.0-72749124219,60023813,Shanghai University,China
2-s2.0-72749127805,100822326,National University of Antiuquia,Colombia
2-s2.0-72749127805,60007381,Yangzhou University,China
2-s2.0-72749084168,60019533,Tianjin University,China
2-s2.0-72749116623,60029322,Dalian Maritime University,China
2-s2.0-72749116623,60030501,Dalian University,China
2-s2.0-72749116623,60004538,Dalian University of Technology,China
2-s2.0-72749100436,60103801,University of Jinan,China
2-s2.0-72749103200,106583261,Orient Institute of Technology,Taiwan
2-s2.0-72749103200,108139986,St. Mary's Junior College of Medicine,Taiwan
2-s2.0-72749103200,60028478,National Ilan University Taiwan,Taiwan
2-s2.0-72749103200,60022174,Changhua Christian Hospital Taiwan,Taiwan
2-s2.0-72749088015,60017482,Jiangsu University,China
2-s2.0-72749088015,60025761,Huazhong University of Science and Technology,China
2-s2.0-72749092920,60015780,Xinjiang University,China
2-s2.0-72749092920,60001604,Ministry of Education China,China
2-s2.0-72749112408,60025084,Shanghai Jiaotong University,China
2-s2.0-72749123734,60016521,Sichuan University,China
2-s2.0-72749106367,60031454,Xi'an University of Architecture and Technology,China
2-s2.0-72749103696,60023813,Shanghai University,China
2-s2.0-72749091543,60073652,Tongji University,China
2-s2.0-72749095380,60012293,Hebei University,China
2-s2.0-72749095380,60073626,Fudan University School of Life Sciences,China
2-s2.0-72749118322,108140205,LAES,China
2-s2.0-72749118322,60019616,Harbin Institute of Technology,China
2-s2.0-72749108485,60022149,Tianjin Normal University,China
2-s2.0-72749084403,60064143,Nanjing University of Information Science and Technology,China
2-s2.0-72749089442,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",China
2-s2.0-72749089442,60022414,Wuhan University of Technology,China
